fn, acc, f1, auc
-------------------
0, 0.80, 0.78, 0.80
1, 0.81, 0.84, 0.80
2, 0.80, 0.81, 0.80
3, 0.80, 0.81, 0.80
4, 0.84, 0.85, 0.84
5, 0.84, 0.84, 0.84
6, 0.88, 0.87, 0.88
7, 0.84, 0.81, 0.85
8, 0.77, 0.78, 0.77
9, 0.86, 0.87, 0.86
