fn, acc, f1, auc
-------------------
0, 0.86, 0.87, 0.86
1, 0.81, 0.82, 0.81
2, 0.84, 0.85, 0.84
3, 0.86, 0.85, 0.86
4, 0.83, 0.82, 0.83
5, 0.86, 0.86, 0.86
6, 0.88, 0.89, 0.88
7, 0.84, 0.85, 0.85
8, 0.91, 0.91, 0.91
9, 0.83, 0.84, 0.83
